Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2125.456473521658
FDW14,OUT017,1700.3187971234524
NCN55,OUT010,2503.27402146368
FDQ58,OUT017,2431.571826805715
FDY38,OUT027,3671.918921430834
FDH56,OUT046,1863.3100536158117
FDL48,OUT018,1198.6892922439206
FDC48,OUT027,2270.1068571642463
FDN33,OUT045,1605.9165854441749
FDA36,OUT017,2768.6381582453837
FDT44,OUT017,1871.0093617924986
FDQ56,OUT045,1518.43888583852
NCC54,OUT019,2339.5011109236702
FDU11,OUT049,2076.3202361060385
DRL59,OUT013,1479.2903446084342
FDM24,OUT049,2427.77703422991
FDI57,OUT045,2802.628791204366
DRC12,OUT018,2721.7691657253563
NCM42,OUT027,2521.6811814212933
FDA46,OUT010,1827.3334547715317
FDA31,OUT013,2596.0273671530376
NCJ31,OUT035,2946.1330303494233
FDG52,OUT046,1097.680055943126
NCL19,OUT019,1636.6172964332518
FDS10,OUT035,2688.8977224621935
FDX22,OUT010,2359.406141537467
NCF19,OUT035,1274.1217707098795
NCE06,OUT046,2195.2238884498597
DRC27,OUT046,3135.271552111834
FDE21,OUT035,2054.266436005751
NCR42,OUT019,407.02511601347624
FDX51,OUT018,2835.0855430776946
NCR06,OUT018,1237.7193383273336
FDU31,OUT027,3716.80062195991
FDU59,OUT017,2343.3627394029395
FDR03,OUT027,3608.7122287863094
FDS49,OUT027,2138.5191587446893
FDD48,OUT010,1304.4148829574467
NCF18,OUT017,2629.763052152127
NCD43,OUT027,2484.4425261388333
NCD54,OUT018,2240.7467156003568
FDY19,OUT010,1317.073539800825
NCY54,OUT017,2241.3188068181857
NCL19,OUT018,2277.868677871307
FDP23,OUT010,2361.986968711608
FDC26,OUT013,1902.1204274415472
FDR14,OUT010,184.7580599285352
NCS41,OUT035,2634.4934536046435
FDF41,OUT035,3165.7568723587956
FDU34,OUT046,1889.254905487184
DRH11,OUT046,1146.93106536081
FDM03,OUT013,1847.0305571218407
FDS31,OUT017,2674.7277641599785
FDJ20,OUT017,1946.8624512843667
FDV44,OUT027,3382.3144919149872
FDG02,OUT049,2950.353588808649
FDA09,OUT013,2762.7021785073925
FDT04,OUT013,1172.8938212613243
FDL58,OUT019,2724.2553574794765
FDE52,OUT045,1748.456768897901
FDW12,OUT035,2322.624254045923
FDL51,OUT017,3010.5975225282045
NCY42,OUT027,2878.764358337723
FDR07,OUT017,1705.3305108246068
FDN40,OUT045,2240.8370439119644
FDB35,OUT027,2299.8506137540803
FDA22,OUT017,2389.0129962258575
NCL06,OUT046,3291.532628021926
FDI35,OUT013,2803.6356988379403
NCW42,OUT045,3002.2794224713125
NCX06,OUT049,2824.7094943916927
FDC37,OUT027,2517.8294150991787
FDZ14,OUT018,2027.2024178517966
DRG49,OUT049,3377.8878093354733
NCG06,OUT045,3423.9203521868776
DRC36,OUT045,2553.326233794502
FDV21,OUT019,895.1168792537765
FDB53,OUT046,1983.2413948845015
DRP47,OUT019,2305.443373437626
FDA14,OUT013,2375.795448470158
DRC24,OUT035,2384.5464838200005
FDW21,OUT018,1896.8925008534907
NCH29,OUT046,1648.4296243517592
FDU58,OUT013,2932.7448601010365
FDY27,OUT017,2623.908237932351
FDV56,OUT035,2023.7895643907489
FDT59,OUT046,3107.140739642936
FDB23,OUT046,3108.610277684057
FDR49,OUT045,1031.7325264293845
FDB03,OUT010,2210.8420000671176
FDN39,OUT045,2473.1102747422797
FDX02,OUT027,3666.6859101675805
FDQ16,OUT027,2500.7854173910946
FDU35,OUT018,1693.4656405204255
NCT29,OUT013,2105.0241260092057
FDZ27,OUT046,1209.021387504655
FDN57,OUT017,2200.0018591896687
FDA03,OUT018,2278.296254700247
FDZ36,OUT045,2650.634511592879
NCU05,OUT013,1691.2148451066425
FDT39,OUT018,2405.6910160003968
FDK60,OUT017,1676.2723032198433
FDZ25,OUT017,2582.370437684082
FDG12,OUT046,2016.969077115856
DRB01,OUT019,1888.6235837396557
NCC43,OUT027,3844.2489546067563
FDX13,OUT019,2647.3619499226515
FDM22,OUT049,1504.661292758321
FDJ03,OUT027,1849.9064874240926
FDU14,OUT018,3281.374518218341
FDB33,OUT010,1853.4990261605342
FDP27,OUT046,2462.7376461207446
FDO38,OUT010,778.4063219590519
FDE28,OUT027,3614.021429891812
FDO27,OUT035,1502.316005233839
DRL23,OUT027,2528.297596457834
FDS28,OUT046,1169.8380083102766
FDX24,OUT013,1928.9806697571305
FDZ02,OUT035,1822.1091173523637
FDL46,OUT045,1957.6233161489947
FDS60,OUT027,3253.5452595995307
NCO06,OUT017,937.9919959533802
FDO16,OUT035,1719.1684414213037
FDC60,OUT049,1683.7553678360944
FDA48,OUT018,2862.1249803270102
FDZ36,OUT027,3277.120511175127
FDK27,OUT045,2083.206783235624
FDW23,OUT018,1049.1321413759244
FDM14,OUT018,1956.9874658786557
FDM14,OUT013,2109.3294715875672
FDW60,OUT018,2659.6207980066356
FDE21,OUT013,2181.1383965280006
NCM42,OUT035,1926.4654542022113
FDY59,OUT010,1090.5485441682474
DRI49,OUT049,1427.040153454566
FDT28,OUT019,1570.8507926422842
FDQ22,OUT018,1190.9550928322928
FDR60,OUT049,1514.9259503316139
FDC50,OUT019,716.0963673567544
FDV24,OUT013,2347.663654168474
DRF48,OUT010,1925.7616234027262
FDQ47,OUT046,785.6437903311094
DRN36,OUT049,1885.2984912602178
NCY06,OUT035,2058.608315285899
FDE52,OUT035,1771.1083048723651
NCB54,OUT045,2026.529958918337
NCF31,OUT035,2324.937483898064
FDJ08,OUT027,3214.79088244812
NCC07,OUT017,1880.3094433520796
NCD19,OUT027,1975.7363248746683
FDL46,OUT049,2113.7138690634915
FDM20,OUT045,3334.7614205519403
NCI06,OUT010,1913.2310920141013
DRM11,OUT035,3398.9927330287765
NCH07,OUT018,2253.812827026346
FDS23,OUT013,2042.4398123148906
FDO49,OUT018,1300.334480962321
FDS35,OUT049,1446.2938846348015
DRK39,OUT045,1571.4354327231542
DRI39,OUT049,1380.6330960450655
FDV04,OUT017,2183.999360815249
NCN14,OUT035,2548.910229345317
FDH08,OUT013,3379.902182642668
FDS20,OUT046,2541.756289824028
FDV40,OUT049,1761.8069083286568
FDZ48,OUT010,1104.9673149271969
FDS24,OUT027,2268.875861977897
FDK44,OUT049,2570.5726012844407
FDS48,OUT045,2261.5772396970096
FDK26,OUT010,2090.6347855599115
FDD23,OUT045,2730.5757679758235
NCH54,OUT017,2345.066541332667
NCP14,OUT010,916.2811324025076
FDM60,OUT010,491.2414495455448
FDV24,OUT017,2185.189231742124
FDH08,OUT018,3183.9449538743897
FDS12,OUT027,2409.7420274148617
FDR39,OUT027,3168.0592642299803
FDP12,OUT027,1770.4110740545984
DRF60,OUT027,3782.8296156443794
FDC09,OUT035,1931.188276403059
FDF50,OUT018,2642.220927662752
FDG28,OUT035,3325.236400692619
NCE19,OUT017,1198.5678638400138
NCM53,OUT010,1144.9107798305854
NCN18,OUT049,2011.318276151555
FDF32,OUT035,2814.4385168186873
FDF11,OUT013,3483.1733638371643
DRI59,OUT049,3232.8852766133664
NCG54,OUT035,2440.8613324301587
FDM44,OUT046,1746.5222327567017
FDT57,OUT018,3253.58558382648
FDV24,OUT046,2080.635532779319
FDI50,OUT019,2523.1101008364485
FDS09,OUT035,1266.103099567165
NCC31,OUT027,3006.824471133299
FDQ07,OUT019,2227.3595620127217
FDC22,OUT017,2574.1542455873096
FDZ56,OUT046,2464.882664124021
FDZ40,OUT019,648.148473180202
FDS46,OUT027,2633.430439182784
DRD24,OUT045,2215.2722576567203
FDV45,OUT017,2725.030035850407
FDL26,OUT045,2317.2753876574197
FDA56,OUT018,2106.624648040677
FDN27,OUT046,1891.5160890263262
FDM20,OUT049,3482.5842853265676
FDO16,OUT017,1672.3539417361153
FDL03,OUT035,2880.1643535999197
FDE58,OUT046,1857.9469690782237
FDI02,OUT027,2422.1188340002973
NCC55,OUT019,381.76663412936773
FDR03,OUT018,2979.954592010769
FDB14,OUT017,1624.567842375391
FDR45,OUT013,3450.632995825495
NCN07,OUT017,2101.679167506693
FDM51,OUT019,1234.3197573767538
FDT52,OUT027,3932.1490403322323
FDL26,OUT046,2198.0304608666825
NCZ42,OUT046,3176.8326633213655
DRI47,OUT019,1653.7601911584443
FDW40,OUT013,2268.0487147135646
FDN34,OUT046,2394.77605032635
FDS01,OUT035,2698.223080168658
NCG55,OUT045,1949.8262581210906
FDC11,OUT035,1486.2382703273124
FDX35,OUT018,3034.261387630454
NCB06,OUT046,2203.8643680723562
FDR09,OUT019,2655.7682106664315
FDC53,OUT017,1834.1271944551563
FDY45,OUT013,3522.5204532124035
FDA22,OUT010,1681.1924624468038
FDE02,OUT035,1609.0827781185008
FDW21,OUT045,1914.2959512136383
FDV34,OUT046,1518.5812386147172
FDS59,OUT049,2077.492292994696
NCW17,OUT017,2108.8291092965956
NCK54,OUT046,1875.2728606923924
FDG17,OUT019,2664.272675884278
FDG35,OUT017,2537.1151802691616
FDD08,OUT010,515.8532580857416
NCO07,OUT017,2991.5766390104
FDJ10,OUT010,1272.4318077031758
FDW36,OUT017,1799.4993753528456
FDW21,OUT010,1067.3426070184128
FDY19,OUT017,2004.637430012223
DRE03,OUT013,1422.7400994112313
NCC55,OUT049,1244.0307075544079
FDH52,OUT010,761.408130780286
FDO09,OUT017,3357.248511122889
FDU43,OUT045,3253.249158616686
FDX09,OUT010,1822.5243588666995
FDH40,OUT019,830.6313449470017
FDW58,OUT017,1930.6683851003002
FDC47,OUT017,2957.575271512433
NCR41,OUT035,1792.4963442848468
DRG49,OUT035,3241.457091687316
FDC52,OUT027,3061.1531570833786
