Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1835.101991538339
FDW14,OUT017,1531.5281874615243
NCN55,OUT010,1902.9178159835492
FDQ58,OUT017,2573.2537513194848
FDY38,OUT027,5144.297501025914
FDH56,OUT046,1954.6464370181461
FDL48,OUT018,604.0479018824417
FDC48,OUT027,2769.764542866702
FDN33,OUT045,1512.8449413391852
FDA36,OUT017,3070.504442163364
FDT44,OUT017,2011.4748386962094
FDQ56,OUT045,1344.340206516999
NCC54,OUT019,1873.8414594824346
FDU11,OUT049,2041.4970965751875
DRL59,OUT013,899.2617718296474
FDM24,OUT049,2538.771195077568
FDI57,OUT045,3145.818590323823
DRC12,OUT018,2775.633559928421
NCM42,OUT027,3185.8249536138765
FDA46,OUT010,1145.1391943259243
FDA31,OUT013,2827.3598970138873
NCJ31,OUT035,3887.7074302900883
FDG52,OUT046,796.0599774689399
NCL19,OUT019,380.11000413282886
FDS10,OUT035,3008.8680624135427
FDX22,OUT010,1462.8018303440429
NCF19,OUT035,913.3044190788362
NCE06,OUT046,2544.174688865545
DRC27,OUT046,3841.054728735835
FDE21,OUT035,2041.1438228192899
NCR42,OUT019,1358.8081245273147
FDX51,OUT018,2868.258320000935
NCR06,OUT018,435.72177265363666
FDU31,OUT027,4958.339065613554
FDU59,OUT017,2699.187747418022
FDR03,OUT027,4737.850901639611
FDS49,OUT027,2762.2560871820374
FDD48,OUT010,62.36550186034401
NCF18,OUT017,3108.029436439671
NCD43,OUT027,3090.5944521108336
NCD54,OUT018,2000.321431400454
FDY19,OUT010,1.7695681687991964
NCY54,OUT017,2805.9845454489514
NCL19,OUT018,2042.6470780428667
FDP23,OUT010,1539.7465629900616
FDC26,OUT013,1836.9463310604192
FDR14,OUT010,1041.0839758476868
NCS41,OUT035,3034.600320894544
FDF41,OUT035,4022.754632807998
FDU34,OUT046,2006.8855054371918
DRH11,OUT046,944.0378430434457
FDM03,OUT013,1735.4862063021383
FDS31,OUT017,3037.025519209375
FDJ20,OUT017,2112.7353140397095
FDV44,OUT027,4503.9338326041
FDG02,OUT049,3109.407656291314
FDA09,OUT013,2920.551648913538
FDT04,OUT013,663.6298009103018
FDL58,OUT019,2285.8942191683163
FDE52,OUT045,1422.9340425004457
FDW12,OUT035,2489.5835115086757
FDL51,OUT017,3513.912838273108
NCY42,OUT027,3680.6529356189794
FDR07,OUT017,1682.1311511909287
FDN40,OUT045,2353.882187756384
FDB35,OUT027,2942.9016207393297
FDA22,OUT017,2726.0045407604025
NCL06,OUT046,4120.829582125085
FDI35,OUT013,2911.9627993023387
NCW42,OUT045,3418.6567825859324
NCX06,OUT049,2929.80956251335
FDC37,OUT027,3187.913374069499
FDZ14,OUT018,1711.9049906494251
DRG49,OUT049,3949.4738168988324
NCG06,OUT045,3962.9527710202574
DRC36,OUT045,2733.0610228359865
FDV21,OUT019,60.10929356858969
FDB53,OUT046,2348.613954857621
DRP47,OUT019,2046.0485856611367
FDA14,OUT013,2323.0380147396386
DRC24,OUT035,2567.104484396523
FDW21,OUT018,1405.8288120668103
NCH29,OUT046,1577.9514328379655
FDU58,OUT013,3068.615953563543
FDY27,OUT017,2898.0613392797536
FDV56,OUT035,1963.775924542497
FDT59,OUT046,3661.867306534824
FDB23,OUT046,3624.0164505692596
FDR49,OUT045,718.0777650214893
FDB03,OUT010,1901.3074624779476
FDN39,OUT045,2615.263231031427
FDX02,OUT027,4946.50896081484
FDQ16,OUT027,3166.2954657684068
FDU35,OUT018,1333.4143310260724
NCT29,OUT013,1978.467216837502
FDZ27,OUT046,803.0983127837901
FDN57,OUT017,2337.681400794549
FDA03,OUT018,2073.5017945785485
FDZ36,OUT045,2923.6887968041924
NCU05,OUT013,1342.6556198909157
FDT39,OUT018,2189.9403168773133
FDK60,OUT017,1696.182746258071
FDZ25,OUT017,2847.3988167792986
FDG12,OUT046,2016.7408070494894
DRB01,OUT019,1121.4906389942255
NCC43,OUT027,5362.42787003364
FDX13,OUT019,2046.2315048094583
FDM22,OUT049,1014.6140535083966
FDJ03,OUT027,2273.114697003022
FDU14,OUT018,3648.977123052947
FDB33,OUT010,670.0501817280037
FDP27,OUT046,3019.390735397223
FDO38,OUT010,640.895623268967
FDE28,OUT027,5117.274154243461
FDO27,OUT035,1690.0655441652284
DRL23,OUT027,3166.2802701507544
FDS28,OUT046,958.8321103376757
FDX24,OUT013,1538.8389084292687
FDZ02,OUT035,1712.7075021380217
FDL46,OUT045,1818.563967126928
FDS60,OUT027,4284.926427197639
NCO06,OUT017,631.0928554869272
FDO16,OUT035,1505.8574084113388
FDC60,OUT049,1532.060567490285
FDA48,OUT018,3202.493507613289
FDZ36,OUT027,4435.260305239353
FDK27,OUT045,1886.1666594100434
FDW23,OUT018,390.0599201983482
FDM14,OUT018,1529.9266699172865
FDM14,OUT013,1799.4541483922653
FDW60,OUT018,2603.4111043862135
FDE21,OUT013,1935.7210233944415
NCM42,OUT035,1875.136462504632
FDY59,OUT010,374.7851383308448
DRI49,OUT049,1376.8121131769012
FDT28,OUT019,497.1339361255691
FDQ22,OUT018,413.1584473279702
FDR60,OUT049,1321.8926624940534
FDC50,OUT019,379.0073783384096
FDV24,OUT013,2440.872932372345
DRF48,OUT010,1073.0071330272483
FDQ47,OUT046,652.9171440700163
DRN36,OUT049,1654.7285108343215
NCY06,OUT035,2166.6457029209346
FDE52,OUT035,1608.4454463217944
NCB54,OUT045,1964.9676966685233
NCF31,OUT035,2541.7626067132946
FDJ08,OUT027,4466.859540417532
NCC07,OUT017,1784.4188037659326
NCD19,OUT027,2319.7071417179427
FDL46,OUT049,1995.0153004223755
FDM20,OUT045,3858.366677678766
NCI06,OUT010,937.8617750454198
DRM11,OUT035,4215.655603143381
NCH07,OUT018,2221.1079781773997
FDS23,OUT013,2086.1537256621787
FDO49,OUT018,599.0046768980005
FDS35,OUT049,1151.12843680493
DRK39,OUT045,1253.2541952908223
DRI39,OUT049,1014.3305741351146
FDV04,OUT017,2616.0321505165093
NCN14,OUT035,3015.5148950333187
FDH08,OUT013,3718.960625331528
FDS20,OUT046,2942.1541263528716
FDV40,OUT049,1315.5887944088972
FDZ48,OUT010,132.54729275776435
FDS24,OUT027,2899.4379926894526
FDK44,OUT049,2871.6838689506253
FDS48,OUT045,2336.9678680940156
FDK26,OUT010,1125.4906609525638
FDD23,OUT045,2971.8872613441767
NCH54,OUT017,2634.997043454297
NCP14,OUT010,233.67636903435368
FDM60,OUT010,1189.7681791483906
FDV24,OUT017,2496.422114118347
FDH08,OUT018,3384.147047589633
FDS12,OUT027,3460.129325347677
FDR39,OUT027,4302.986267042437
FDP12,OUT027,2109.3360282374397
DRF60,OUT027,5169.194204236968
FDC09,OUT035,1864.2874840288323
FDF50,OUT018,2882.462393420196
FDG28,OUT035,4013.05358445469
NCE19,OUT017,983.1018426061969
NCM53,OUT010,169.85023014880016
NCN18,OUT049,1846.1259145079748
FDF32,OUT035,3315.2894553831356
FDF11,OUT013,3860.080103471005
DRI59,OUT049,3643.6769305669714
NCG54,OUT035,2798.608690179146
FDM44,OUT046,1678.2208100359198
FDT57,OUT018,3471.92050497376
FDV24,OUT046,2409.6906861921384
FDI50,OUT019,1768.2677962213954
FDS09,OUT035,1024.3485370484395
NCC31,OUT027,3885.605034833412
FDQ07,OUT019,1621.02890637276
FDC22,OUT017,3158.6145574289712
FDZ56,OUT046,2735.4944767036686
FDZ40,OUT019,1007.1306291988544
FDS46,OUT027,3381.76444116886
DRD24,OUT045,2183.161568516542
FDV45,OUT017,3097.234243039447
FDL26,OUT045,2435.1067418179673
FDA56,OUT018,1742.1525335837357
FDN27,OUT046,1909.9762681304646
FDM20,OUT049,3987.517550862038
FDO16,OUT017,1437.4528137887507
FDL03,OUT035,3280.4735273231927
FDE58,OUT046,1889.1478564498962
FDI02,OUT027,3288.528773934434
NCC55,OUT019,1262.6365253910203
FDR03,OUT018,3039.7997456653384
FDB14,OUT017,1639.631443547165
FDR45,OUT013,3841.887417204849
NCN07,OUT017,2170.9030114236516
FDM51,OUT019,198.39790061637405
FDT52,OUT027,5335.036026440132
FDL26,OUT046,2480.9371583229486
NCZ42,OUT046,3766.4350386857477
DRI47,OUT019,430.3305964049289
FDW40,OUT013,2300.4722348894124
