Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1835.9179647260064
FDW14,OUT017,1518.4816325073778
NCN55,OUT010,1884.6693708076514
FDQ58,OUT017,2574.658227943964
FDY38,OUT027,5133.09704590519
FDH56,OUT046,1953.2693777301638
FDL48,OUT018,599.4376223228212
FDC48,OUT027,2779.7578047252946
FDN33,OUT045,1495.9621799781085
FDA36,OUT017,3084.4108319525444
FDT44,OUT017,2025.8094680679642
FDQ56,OUT045,1337.7462499998614
NCC54,OUT019,1877.7677299917732
FDU11,OUT049,2058.369370265248
DRL59,OUT013,910.6130149263176
FDM24,OUT049,2554.2197164176237
FDI57,OUT045,3267.555071930521
DRC12,OUT018,2753.1096052517496
NCM42,OUT027,3183.6562068114395
FDA46,OUT010,1124.580613120667
FDA31,OUT013,2832.7361624493474
NCJ31,OUT035,3890.1617075715576
FDG52,OUT046,773.0514517451038
NCL19,OUT019,370.9214169550769
FDS10,OUT035,3010.742075358286
FDX22,OUT010,1446.832960387994
NCF19,OUT035,910.6904216861183
NCE06,OUT046,2525.2809766845894
DRC27,OUT046,3862.989888303783
FDE21,OUT035,2054.9197594268653
NCR42,OUT019,1372.5455526711444
FDX51,OUT018,2866.2613811217398
NCR06,OUT018,415.02552434555173
FDU31,OUT027,4977.234919616701
FDU59,OUT017,2717.6071943516235
FDR03,OUT027,4754.18516877808
FDS49,OUT027,2780.1809769607926
FDD48,OUT010,72.20051910409165
NCF18,OUT017,3109.772630881218
NCD43,OUT027,3088.568089413734
NCD54,OUT018,1982.5395561343516
FDY19,OUT010,5.372086494661971
NCY54,OUT017,2805.8543427877985
NCL19,OUT018,2025.6752732223938
FDP23,OUT010,1537.8827961224367
FDC26,OUT013,1847.2589231846127
FDR14,OUT010,1082.0371971540408
NCS41,OUT035,3047.9073761014606
FDF41,OUT035,4022.0851901933247
FDU34,OUT046,1988.9321976051965
DRH11,OUT046,944.9332260993567
FDM03,OUT013,1736.740402981051
FDS31,OUT017,3056.5532717326496
FDJ20,OUT017,2130.9463878961405
FDV44,OUT027,4521.849410691364
FDG02,OUT049,3131.4293368436784
FDA09,OUT013,2916.466842535283
FDT04,OUT013,649.6926074008841
FDL58,OUT019,2281.3006664019026
FDE52,OUT045,1390.8023953028078
FDW12,OUT035,2504.985667880711
FDL51,OUT017,3504.812114026922
NCY42,OUT027,3679.3769795407247
FDR07,OUT017,1696.4890753357904
FDN40,OUT045,2332.2756443669605
FDB35,OUT027,2977.430278662031
FDA22,OUT017,2759.8860254943493
NCL06,OUT046,4105.200591631096
FDI35,OUT013,2937.453041117424
NCW42,OUT045,3401.9766510061727
NCX06,OUT049,2931.300031520391
FDC37,OUT027,3198.896423569111
FDZ14,OUT018,1680.5819185351804
DRG49,OUT049,3945.8016732062415
NCG06,OUT045,3947.209689223824
DRC36,OUT045,2712.770460340304
FDV21,OUT019,47.7695732580205
FDB53,OUT046,2327.460341940839
DRP47,OUT019,2058.9526807198895
FDA14,OUT013,2298.713168440189
DRC24,OUT035,2561.8634557108116
FDW21,OUT018,1390.279893310047
NCH29,OUT046,1570.695067927
FDU58,OUT013,3064.5453678109798
FDY27,OUT017,2883.668210831431
FDV56,OUT035,1981.1388473734366
FDT59,OUT046,3664.163611385514
FDB23,OUT046,3645.3421169111507
FDR49,OUT045,716.7887122355846
FDB03,OUT010,1869.0270326201571
FDN39,OUT045,2612.6290742771835
FDX02,OUT027,4932.244693420749
FDQ16,OUT027,3162.846855467953
FDU35,OUT018,1331.4269048145595
NCT29,OUT013,1981.461916733724
FDZ27,OUT046,766.8275468257868
FDN57,OUT017,2339.2225577855534
FDA03,OUT018,2043.5523353382748
FDZ36,OUT045,2921.17802823176
NCU05,OUT013,1344.6355130045026
FDT39,OUT018,2186.7349644882156
FDK60,OUT017,1711.432146421237
FDZ25,OUT017,2873.3310660872544
FDG12,OUT046,2013.6140499080452
DRB01,OUT019,1105.2851897316295
NCC43,OUT027,5363.279567634718
FDX13,OUT019,2058.5381554059736
FDM22,OUT049,1016.7852041205929
FDJ03,OUT027,2257.6729915416613
FDU14,OUT018,3617.8703192681637
FDB33,OUT010,664.1477498676938
