Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1834.0
FDW14,OUT017,1554.0
NCN55,OUT010,1878.0
FDQ58,OUT017,2608.0
FDY38,OUT027,5169.0
FDH56,OUT046,1925.0
FDL48,OUT018,603.0
FDC48,OUT027,2794.0
FDN33,OUT045,1492.5
FDA36,OUT017,3094.0
FDT44,OUT017,2047.0
FDQ56,OUT045,1315.5
NCC54,OUT019,1852.0
FDU11,OUT049,2051.5
DRL59,OUT013,886.0
FDM24,OUT049,2537.0
FDI57,OUT045,3258.0
DRC12,OUT018,2759.0
NCM42,OUT027,3205.5
FDA46,OUT010,1074.0
FDA31,OUT013,2794.0
NCJ31,OUT035,3992.5
FDG52,OUT046,753.0
NCL19,OUT019,398.0
FDS10,OUT035,3067.5
FDX22,OUT010,1401.5
NCF19,OUT035,953.5
NCE06,OUT046,2487.5
DRC27,OUT046,3831.5
FDE21,OUT035,2099.5
NCR42,OUT019,1405.0
FDX51,OUT018,2895.0
NCR06,OUT018,423.0
FDU31,OUT027,5005.5
FDU59,OUT017,2746.0
FDR03,OUT027,4796.5
FDS49,OUT027,2810.0
FDD48,OUT010,146.0
NCF18,OUT017,3126.0
NCD43,OUT027,3110.0
NCD54,OUT018,1988.0
FDY19,OUT010,69.5
NCY54,OUT017,2824.0
NCL19,OUT018,2092.0
FDP23,OUT010,1481.0
FDC26,OUT013,1812.5
FDR14,OUT010,1134.5
NCS41,OUT035,3103.0
FDF41,OUT035,4083.0
FDU34,OUT046,1963.0
DRH11,OUT046,926.5
FDM03,OUT013,1712.5
FDS31,OUT017,3082.0
FDJ20,OUT017,2157.0
FDV44,OUT027,4551.0
FDG02,OUT049,3121.5
FDA09,OUT013,2893.5
FDT04,OUT013,626.5
FDL58,OUT019,2268.0
FDE52,OUT045,1381.5
FDW12,OUT035,2545.0
FDL51,OUT017,3537.0
NCY42,OUT027,3700.5
FDR07,OUT017,1717.0
FDN40,OUT045,2326.5
FDB35,OUT027,3027.5
FDA22,OUT017,2801.0
NCL06,OUT046,4064.5
FDI35,OUT013,2915.5
NCW42,OUT045,3373.0
NCX06,OUT049,2914.5
FDC37,OUT027,3212.0
FDZ14,OUT018,1703.0
DRG49,OUT049,3930.5
NCG06,OUT045,3917.5
DRC36,OUT045,2692.5
FDV21,OUT019,31.5
FDB53,OUT046,2306.0
DRP47,OUT019,2041.0
FDA14,OUT013,2265.5
DRC24,OUT035,2608.0
FDW21,OUT018,1418.0
NCH29,OUT046,1544.5
FDU58,OUT013,3042.0
FDY27,OUT017,2912.0
FDV56,OUT035,2031.5
FDT59,OUT046,3630.5
FDB23,OUT046,3630.5
FDR49,OUT045,699.5
FDB03,OUT010,1819.0
FDN39,OUT045,2608.0
FDX02,OUT027,4961.5
FDQ16,OUT027,3202.0
FDU35,OUT018,1346.0
NCT29,OUT013,1951.0
FDZ27,OUT046,738.0
FDN57,OUT017,2372.0
FDA03,OUT018,2065.0
FDZ36,OUT045,2892.5
NCU05,OUT013,1315.0
FDT39,OUT018,2217.0
FDK60,OUT017,1728.0
FDZ25,OUT017,2903.0
FDG12,OUT046,1974.0
DRB01,OUT019,1072.5
NCC43,OUT027,5383.0
FDX13,OUT019,2030.0
FDM22,OUT049,1023.0
FDJ03,OUT027,2296.5
FDU14,OUT018,3631.0
FDB33,OUT010,599.5
FDP27,OUT046,2992.0
FDO38,OUT010,701.5
FDE28,OUT027,5163.5
FDO27,OUT035,1769.0
DRL23,OUT027,3225.5
FDS28,OUT046,925.5
FDX24,OUT013,1492.0
FDZ02,OUT035,1759.0
FDL46,OUT045,1789.0
FDS60,OUT027,4309.5
NCO06,OUT017,648.0
FDO16,OUT035,1566.0
FDC60,OUT049,1530.0
FDA48,OUT018,3196.0
FDZ36,OUT027,4470.0
FDK27,OUT045,1869.0
FDW23,OUT018,382.0
FDM14,OUT018,1544.0
FDM14,OUT013,1775.0
FDW60,OUT018,2604.0
FDE21,OUT013,1902.0
NCM42,OUT035,1916.0
FDY59,OUT010,458.5
DRI49,OUT049,1356.5
FDT28,OUT019,466.5
FDQ22,OUT018,416.0
