area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,72.78343177215461
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,180.03815299487505
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,274.47931862187875
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,47.916247753958054
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,58.7267352729372
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,86.65933311295318
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,334.29924274662926
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,41.624362557294575
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,93.36100963167992
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,149.7953428113035
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,94.71387423523886
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,128.8505322348229
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,234.38130957803048
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,44.75588037474733
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,75.75013957254755
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,189.82420684656995
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,40.17172400296072
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,62.69399291048438
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,39.184626209816365
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,244.9529301508584
