area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,72.39721580987487
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,157.62451442024582
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,350.35433333037
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,44.126128470176695
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,62.07315499235091
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,81.60087344193714
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,394.8186433349305
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,43.06626446870161
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,95.44114387314735
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,170.50249568617593
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,91.86203372969055
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,118.57980315998789
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,237.92480487846728
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,42.03384968152938
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,76.68340449566557
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,186.47064621366775
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,43.12455660312859
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,60.246404107564665
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,43.70882648924068
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,196.6799289080096
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,33.46884958530209
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,136.2416709115967
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,41.02739032393327
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,53.46414653795064
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,132.59610224040392
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,93.45479535208416
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,133.44315204383906
