Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3597.5
ACCEGCATKHNRXUHW,2317.75
NKCE6GJ5XVJDXNNZ,11125.0
NKCEB8BK3ZXDHDHM,9039.75
TOPEFDXSAHRNPF94,5650.0
ACCE558KZHEPZYMG,8849.5
ACCEAZCVAMFHDPY7,5051.5
NKCDYNY37JPBGBVM,2870.5
NKCEY8KWY33FCUYD,7234.0
RNGE4YPTQYRECV9J,4523.5
NKCE88AHBHJZREXH,4191.75
CLTEJ5ZZGBP4JGGE,7482.5
WATE3NWH5FZWAMDA,7405.5
CAGE53FSFZVFPFHQ,2093.75
PCSEAKVBFFPGCHNZ,3913.75
WATDFFH3KJYBTYGG,6958.25
NKCDWHFQSCHHYZMP,3049.75
RNGEB2PG3Q5RKDW6,3642.0
NKCE5UY9HHPZGGUZ,4536.25
KTAEHETW3ZCMFMJR,4300.0
BRAEBBYRVF9MHJHU,7239.0
NKCEAX7HAQ2RJA3Q,9862.75
CRTECN2RQZWBSP9W,5087.75
WATDEWZ9UHSEHGZG,9144.25
PTPEYW8HNV6G9YYR,3163.75
ACCEAMGZRRYVAHDC,5041.0
SRTEHHXG8MUXTGPA,5946.0
SKIE4S4NN4MHYM3Z,4939.25
HMBE7G34YHWPWKYN,7059.75
LLIEGTMFJBD7ZZZM,12954.0
ACCEJGH6JVTM4CBH,1243.25
ACCDQDYBXJ9HZF37,9503.0
RNGE88FRGZCXNKUG,196.5
NKCE7M3QNNPZDXHQ,9757.0
VLBEGFFDP9H6WG2T,3661.75
TOPEAFG4YEQSH5TT,2880.0
WATEYAP3K2QQQWDH,5337.25
PCSEBDFUFJWGARNX,9924.25
SWTEGXQFZY95SKG7,4873.25
BRAEGJFXSM9ZQ6SK,6247.5
CAGE6FYKP34GA4GF,7131.0
HMBEJCMH78VJF3M8,4536.5
HIFEB7J3GSTVN5XJ,10061.75
PBXE6ZHNGZREWWHR,4683.0
PCSEAKVBNXFGZBKB,6667.5
BRAEBBMQQNZ9RZWR,5716.25
ACCEGKFCXHZZH44S,568.0
SHODXQRRGKZ74U9M,4472.25
DREE2Y6DVEKVVQQS,4549.75
PBXE8ZHHG5Y525BT,6805.0
CTTEH9FXZHGFKUA3,7810.25
ACCDXFZXGQTBTM6N,3766.25
NKCE9PFF3TT4KSQJ,7496.5
BRAE6NZAZK77HXZK,1461.0
NKCE4TV42BHDP63U,3581.0
AIREDGGD9RJPZGYW,5603.5
PCSEDAPMHR2HNHWP,7863.75
PACE95FMAFXHZB5C,4563.0
WATDG4KP445AV5XC,12776.5
ACCE9EYRRNZYZUBG,952.5
ACCE8XZMAHNC8JVS,36.5
SHOED5DCSTQKZCGF,3914.0
NKCE64Z4NGBHNAY7,3849.0
PBXE8WQTZ5GA2YYQ,1441.5
MUGEGZUMGYAPVSZH,4851.5
PBXE4RB3Y3GXWPFV,221.5
PCSE2ZFDJJGFNHC7,263.5
CRTECN2QT5HKHZ8F,4918.5
MUGEACY8Q7ZYSTN8,2074.25
ACCEGG9VGRMQGHRD,6970.5
PCSE76X48PVSDDVK,1623.0
PBXE6677X2D6UFZZ,5710.0
WCKEGGGD2TXHHTJC,1785.5
NKCE7MMGF4PPGNA6,3120.75
CRTECN2QYTPHK5YQ,5029.25
OIDEJFCWMMR6JQBE,5691.75
WATE5HFY4MJX6CHD,5383.0
DREE4FC4TAR8M5GN,4602.5
HACEGPF9DZVUZBFY,7767.25
PBXE4Q7YF5KUYJYW,10971.5
SHIED9YEH65NSA8N,9877.75
WATDHMQJ68MVBRFV,12754.75
HMBEGWTFEV4TF2RH,3463.5
SHIE2FH7YTVDHFGT,3286.75
CRTECN2QYRY2KWZF,4384.25
TSHEDJXPN4HNT2UP,6056.0
SHOECZH5WGBZHZES,2917.0
